Category,topology,source framework,precision,infered with,CPU,GPU,NPU
Natural Language Processing,xlnet,onnx,FP16-INT8,OpenVINO,+,+,
Natural Language Processing,xlnet,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,xlnet-base-cased,pytorch,FP32,torch.compile,+,+,
Instance Segmentation,yolact-resnet50-fpn-pytorch,onnx,FP16,OpenVINO,+,+,+
Instance Segmentation,yolact-resnet50-fpn-pytorch,onnx,FP16-INT8,OpenVINO,+,+,+
Instance Segmentation,yolact-resnet50-fpn-pytorch,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v3_tiny,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v3_tiny,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v3_tiny,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v3_tiny,tf,FP32,OpenVINO,+,+,+
Object Detection,yolo_v3_tiny,tf,FP16,OpenVINO,+,+,+
Object Detection,yolo_v3_tiny,tf,INT8,OpenVINO,+,+,+
Object Detection,yolo_v4,tf,FP16,OpenVINO,+,+,+
Object Detection,yolo_v4,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v4,tf,FP32,OpenVINO,+,+,+
Object Detection,yolo_v4,tf2,FP16,OpenVINO,+,+,+
Object Detection,yolo_v4,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5l,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5l,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5l,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5m,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5m,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5m,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5m,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v5m,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v5m,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v5m6-v6,onnx,FP16,OpenVINO,+,,
Object Detection,yolo_v5m6-v6,onnx,FP32,OpenVINO,+,,
Object Detection,yolo_v5m-v6,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5m-v6,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5m-v6,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5s,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5s,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5s,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5s,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v5s,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v5s,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v5s-v6,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5s-v6,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5s-v6,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5x,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5x,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v8n,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v8n,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v8n,onnx,FP32,OpenVINO,+,+,
Object Detection,yolo_v8n,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v8n,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,yolo_v8n,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,yolo11,pytorch,FP32,torch.compile,,+,
Object Detection,yolof,onnx,FP16,OpenVINO,+,,+
Object Detection,yolof,onnx,FP16-INT8,OpenVINO,+,,+
Object Detection,yolof,onnx,FP32,OpenVINO,+,,+
Object Detection,yolor_p6,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolor_p6,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolor_p6,onnx,FP32,OpenVINO,+,+,
Object Detection,yolor_p6,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,yolor_p6,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,yolor_p6,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,yolo-v3,tf,FP32,OpenVINO,+,+,+
Object Detection,yolo-v3,tf,FP16,OpenVINO,+,+,+
Object Detection,yolo-v4-tiny,tf,FP16,OpenVINO,+,+,+
Object Detection,yolo-v4-tiny,tf,FP32,OpenVINO,+,+,+
Object Detection,yolov8n,pytorch,FP32,torch.compile,+,+,+
Object Detection,yolox-tiny,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolox-tiny,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolox-tiny,onnx,FP32,OpenVINO,+,+,+
Large Language Model,zephyr-7b-beta,pytorch,FP16,OpenVINO,+,+,
Large Language Model,zephyr-7b-beta,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,zephyr-7b-beta,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,zephyr-7b-beta,pytorch,INT4,Optimum Intel,+,+,
